instruction,input,response
Quel est le nom de l'article sur League of Legends mettant en avant Caliste-Targamas ?,,"League of Legends : Caliste-Targamas, meilleure botlane de l'histoire de la LFL ?"
Quelle est la date de publication de l'article sur la Karmine Corp championne de France ?,,11 août 2023
Où a été publié l'article sur la participation de la Karmine Corp en finale des EMEA Masters ?,,sur L'Équipe
A quelle date la Karmine Corp a annoncé rejoindre la LEC ?,,18 octobre 2023
Quel média a annoncé l'intégration de la Karmine Corp à l'élite européenne de League of Legends ?,,Le Monde.fr
Qui a publié l'article sur la Karmine délivrée et le tacle de G2 à son rival ?,,Ethan Cohen
Quelle est la date de la publication de l'article sur la Karmine Corp sur Rocket League?,Article sur la Karmine Corp sur Rocket League,25 juin 2021
Quel site web a publié un article sur les 3 actualités esport de la semaine?,Les 3 actualités esport de la semaine,Sport.fr
Quand Bren a-t-il rejoint l'écurie de la Kameto Corp sur Trackmania?,Bren,7 janvier 2022
Quelle est la date de consultation de l'article sur la victoire de la Karmine Corp sur TrackMania?,Article sur la victoire de la Karmine Corp sur TrackMania,16 avril 2024
Qui a annoncé que la Karmine Corp est devenue championne du monde sur TrackMania?,Annonce de la Karmine Corp championne du monde sur TrackMania,BFMTV
"Quelle compétition la Karmine Corp quitte-t-elle sur TrackMania, Super Smash Bros. et Teamfight Tactics ?",,"La Karmine Corp se retire de la compétition sur TrackMania, Super Smash Bros. et Teamfight Tactics"
Quel jeu voit l'arrivée de la Karmine Corp selon l'article de L'Équipe?,,Rocket League
Qui rassure sur Rocket League en gagnant le Weplay Esports Invitational ?,,La Karmine Corp et le belge AztraL
Quand a eu lieu le Weplay Esports Invitational remporté par la Karmine Corp et AztraL ?,,Le 11 avril 2024
Quelle compétition la Karmine Corp annonce-t-elle son nouveau roster Rocket League ?,,Rocket League
Où peut-on consulter l'article sur l'update du WePlay Invitational Seeding ?,,Sur weplay.tv
Quel est le nom de l'équipe mentionnée dans les articles ?,,La Karmine Corp
Quelles sont les dates de consultation des articles mentionnés ?,,"23 avril 2022, 11 avril 2024"
Quels sont les sites web où les articles ont été consultés ?,,"Gaming Up, Eclypsia, L'Équipe"
Quelle compétition de Rocket League a été remportée par la Karmine Corp ?,,Le Major du segment hivernal
Quelle équipe a remporté le Rocket League Championship Series Winter Major Finale ?,Max Thielmeyer,"Karmine Corp

-"
Qui est champion du monde de Rocket League selon Eclypsia le 13 août 2023 ?,Diane Masson,"Vitality

-"
Quels joueurs ont quitté la Karmine Corp le 25 octobre 2023 ?,Julie Froetscher,"Itachi, ExoTiiK et Eversax

-"
Qui est le champion du monde Ferra ?,RLCS,"Karmine Corp

-"
Quels joueurs ont rejoint la Karmine Corp le 2 décembre 2023 ?,Lucas Jacque,Rise et Atow
Quels événements liés à la Karmine Corp sont mentionnés dans le texte ?,,"Rocket League - RLCS EU, Valorant, séparation du roster Valorant, titre européen pour la Karmine Corp

-"
Quels sont les dates de publication des articles mentionnés dans le texte ?,,"11 mars 2024, 1er avril 2024, 5 mai 2022, 13 novembre 2023

-"
Quel est le nom de l'auteur de l'article sur la Karmine Corp dans Rocket League ?,,"Lucas Jacque

-"
Où la Karmine Corp a-t-elle débarqué officiellement sur Valorant ?,,"Sur Valorant

-"
Quel site a publié l'article sur la Karmine Corp naviguant sur Valorant ?,,"Dexerto.fr

-"
Quel site a annoncé la séparation du roster Valorant de la Karmine Corp ?,,"Mandatory.gg

-"
Qui a remporté un titre européen dans Valorant ?,,La Karmine Corp
Quel événement de VALORANT se déroule en 2024 à Madrid ?,Aucune,VALORANT Champions Tour 2024: Masters Madrid
Quel est le nom de l'équipe féminine de Valorant mentionnée sur Breakflip en février 2023 ?,Aucune,Equipe KC Valorant féminine
Qui est le premier joueur officiel de la Karmine Corp sur Smash Bos Ultimate ?,Aucune,Kurama
"Quelles activités la Karmine Corp a-t-elle cessé sur Trackmania, TFT et Smash ?",Aucune,"Trackmania, TFT et Smash"
Sur quel jeu la Karmine Corp se lance-t-elle selon BFMTV ?,Aucune,Fortnite
Quelle est la date de fondation de Karmine Corp ?,,30 mars 2020 (Kameto Corp)  16 novembre 2020 (Karmine Corp)
Quels sont les sigles utilisés pour désigner Karmine Corp ?,,"KCorp, KC"
Où est situé le siège de Karmine Corp ?,,Tours (de jure)  Paris (de facto)
Qui sont les fondateurs de Karmine Corp ?,,"Kameto, Kotei (d), Prime"
Qui est le président actuel de Karmine Corp ?,,Kameto (depuis 2021)
Quels sont les sponsors de Karmine Corp ?,,"Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio"
Quel est le site web de Karmine Corp ?,,www.karminecorp.fr
Quel est le nom de la structure d'esport mentionnée dans le texte ?,,Karmine Corp
Qui a formé la structure sous le nom de Kameto Corp ?,,Le duo de streamers francophones Kamel « Kameto » Kebir et Zouhair « Kotei » Darji
Quand la société par actions simplifiée a-t-elle été créée ?,,Quelques mois après le 30 mars 2020
Qui préside la société Karmine Corp ?,,Kameto
Qui a rejoint la direction de Karmine Corp le 16 novembre 2020 ?,,Amine « Prime » Mekri
Où est basée principalement l'entreprise Karmine Corp ?,,Paris
Depuis quand l'entreprise dispose-t-elle de locaux à Berlin ?,,Depuis 2023
Où est devenu le club résident de Karmine Corp en 2024 ?,,Aux Arènes de l'Agora à Evry-Courcouronnes
Quelle section de jeu vidéo a été créée par la structure dans le monde de l'esport ?,,League of Legends
Quels titres la structure a-t-elle remportés en 2021 ?,,championne des segments de printemps et d'été 2021
Quelle est l'initiative visant à démocratiser l'esport en France ?,,organisation d'événements annuels
Quelle est l'association à laquelle appartiennent les ultras de la Karmine Corp ?,,Le Blue Wall
Qui a annoncé la création de la structure d'e-sport Kameto Corp ?,,Kamel « Kameto » Kebir
Avec qui Kamel « Kameto » Kebir a-t-il créé la structure d'e-sport Kameto Corp ?,,Zouhair « Kotei » Darji
Quels sont les jeux dans lesquels la Kameto Corp a remporté des titres ?,,Teamfight Tactics (TFT) et TrackMania
Quels sont les noms des joueurs qui ont remporté les mondiaux de Teamfight Tactics (TFT) avec la Kameto Corp ?,,Emre « Double61 » Demirtas
Qui sont les joueurs qui ont remporté un titre de champions du monde sur TrackMania avec la Kameto Corp ?,,Brendan « Bren » Seve et Youen « Otaaaq » Egler
Qui a rejoint le duo en novembre 2020 comme cofondateur ?,novembre 2020,Amine « Prime » Mekri
Quelle est la nouvelle structure renommée par le duo ?,Karmine Corp,Karmine Corp
Quelle ligue la structure Karmine Corp a-t-elle rejoint pour la saison suivante ?,Ligue française de League of Legends (LFL),Ligue française de League of Legends (LFL)
Quelle compétition la structure Karmine Corp a-t-elle remportée en 2021 ?,segment de printemps de la LFL,segment de printemps de la LFL
Quelle compétition européenne la structure Karmine Corp a-t-elle remportée en 2021 ?,deuxième division européenne EMEA Masters,deuxième division européenne EMEA Masters
Combien de fois la structure Karmine Corp a-t-elle remporté le championnat européen ?,deux fois,deux fois
Quel titre la structure Karmine Corp a-t-elle remporté pour la troisième fois en triplé ?,segment de printemps 2022,segment de printemps 2022
Quelle équipe a remporté la ligue française et les EMEA Masters en 2023?,,l'équipe a remporté la ligue française et les EMEA Masters en 2023
Quelle est la ligue européenne à laquelle la section League of Legends a rejoint en 2023?,,"la section League of Legends a rejoint la première division européenne, les League of Legends EMEA Championship (LEC)"
Avec quelle équipe la section League of Legends a signé un accord pour acquérir sa place dans les LEC?,équipe danoise Astralis,l'équipe danoise Astralis
Où la structure a-t-elle établi des locaux pour développer la section Valorant en fin d'année 2023?,Berlin,des locaux à Berlin
Quel événement a rassemblé 3 500 personnes en 2021?,2021,Le premier Karmine Corp Experience (KCX)
Combien de spectateurs ont été rassemblés lors de la deuxième édition du KCX en 2022?,2022,12 000 spectateurs
Où s'est déroulé le KCX3 en 2023?,2023,À la Paris La Défense Arena
En quelle année le club est devenu résident des Arènes de l'Agora?,Arènes de l'Agora,2024
Quelle nouvelle équipe a pris la place laissée vacante en LFL en 2024?,2024,Karmine Corp Blue
Quand Kameto Corp a-t-elle été créée?,,Le 30 mars 2020
Quels joueurs ont été rachetés par Kameto Corp lors de la saison de Division 2 Française?,,"Adam « Adam » Maanane, Philippe « Akabane » Le, Ilias « Nuclearint » Bizriken, Julien « jujutw0 » Izzo et Jérémy « Helaz » François"
Quand la Kameto Corp a-t-elle annoncé son arrivée en LFL?,,Le 17 novembre 2020
Qui a été conservé comme joueur pour le segment de printemps de LFL 2021?,,Adam « Adam » Maanane
Quelle est la date de l'annonce de l'équipe de la Karmine ?,,Le 23 décembre 2020
Qui est le jungler de l'équipe de la Karmine ?,,Jakub « Cinkrof » Rokicki
Quel joueur évolue au poste de mid laner pour la Karmine ?,,Lucas « Saken » Fayard
Qui est l'AD Carry de l'équipe de la Karmine ?,,Matthew « xMatty » Coombs
Quel joueur est le support de l'équipe de la Karmine ?,,Raphaël «Targamas » Crabbé
Quel joueur était déjà champion de France avec les Misfits Premier l'année dernière ?,,Raphaël «Targamas » Crabbé
Qui est le coach de l'équipe de la Karmine ?,,Yanis « Striker » Kella
Quelle équipe a remporté le championnat?,,La Karmine Corp
Quel était le bilan de la Karmine Corp lors des deux premières semaines de la saison?,,Trois victoires pour deux défaites
Contre quelle équipe la Karmine Corp a-t-elle remporté le derby avec des audiences records?,Solary,Solary
Avec combien de défaites la Karmine Corp a-t-elle fini la saison régulière?,,3 défaites
Avec quelle équipe la Karmine Corp a fini à égalité en tête du classement de la saison régulière?,Misfits Premier,Misfits Premier
Qui a remporté le tie-break pour la première place entre la Karmine Corp et Misfits Premier?,,La Karmine Corp
Contre quelle équipe la Karmine Corp a-t-elle remporté la finale du championnat?,Misfits Gaming,Misfits Gaming
Quelle est la compétition que la victoire de la Karmine Corp leur permet de se qualifier ?,,Les European Masters
Contre quelle équipe la Karmine Corp a-t-elle été bousculée en quarts de finale ?,,ŠAIM SE SuppUp
Qui a débloqué la victoire de la Karmine Corp en demi-finale ?,,Saken
Quelle équipe la Karmine Corp a-t-elle battu en finale pour remporter le trophée ?,,BT Excel
Qui a félicité la Karmine Corp pour sa victoire sur Twitter ?,,Le président de la République Emmanuel Macron
Qui quitte la Karmine Corp le 12 mai 2021 ?,date (12 mai 2021),Adam quitte la Karmine Corp le 12 mai 2021.
Où Adam rejoint-il après avoir quitté la Karmine Corp ?,nom (Adam),Adam rejoint l'équipe de Fnatic après avoir quitté la Karmine Corp.
Qui remplace Adam dans l'équipe de la Karmine Corp ?,nom (Adam),Lucas « Cabochard » Simon-Meslet remplace Adam dans l'équipe de la Karmine Corp.
Quelle est la date à laquelle Kamel et Amine annoncent que Cabochard remplacera Adam ?,"nom (Cabochard), noms (Kamel et Amine)",Kamel et Amine annoncent que Cabochard remplacera Adam le 29 mai 2021.
Quelle équipe Cabochard a-t-il précédemment rejoint avant de remplacer Adam ?,nom (Cabochard),Cabochard a précédemment rejoint la Team Vitality avant de remplacer Adam.
Quels sont les résultats de la Karmine au cours de la première moitié de la saison ?,,9 victoires en 9 matchs
Qui est l'adversaire de la Karmine en finale du segment ?,Misfits Premier,Misfits Premier
Quel est le score de la finale entre la Karmine et les Misfits Premier ?,,3-1
Quelle conséquence a la défaite en finale pour la Karmine ?,,"Première défaite dans une rencontre en plus d'un match gagnant, premier titre échappé en 2021"
Quel était le résultat du dernier match de la Karmine Corp en finale de la Coupe de France en 2021 ?,Coupe de France,La Karmine Corp a perdu 3-2 contre Misfits Premier en finale de la Coupe de France en 2021.
Combien de matchs la Karmine Corp a-t-elle joué lors de la saison 2021 en LFL ?,LFL,La Karmine Corp a joué 18 matchs lors de la saison 2021 en LFL.
Quel est le bilan de la Karmine Corp lors de la phase de groupe des European Masters 2021 ?,European Masters,Le bilan de la Karmine Corp lors de la phase de groupe des European Masters 2021 était de 3 victoires et 3 défaites.
Quel était le résultat de la Karmine Corp lors de la Finale - Round 5 de la Coupe de France en 2021 ?,Coupe de France,La Karmine Corp a perdu 2-3 contre Misfits Premier lors de la Finale - Round 5 de la Coupe de France en 2021.
Quelle est la date de la conférence de presse annonçant le départ de certains joueurs de l'équipe et la prolongation du staff technique ?,,Le 15 novembre 2021
Qui sont les joueurs qui ont quitté l'équipe lors de cette conférence de presse ?,,"Cinkrof, Targamas et xMatty"
Qui sont les membres du staff technique dont la prolongation a été annoncée jusqu'en 2023 ?,,Striker et Reha
D'où vient le AD Carry suédois Martin « Rekkles » Larsson ?,,De chez G2 Esports
Pourquoi Martin « Rekkles » Larsson était-il sur la liste des transferts ?,,Après la non-qualification aux Worlds 2021 de G2
Combien aurait coûté le transfert de Martin « Rekkles » Larsson à la Karmine ?,,Près d'un million d'euros
Quels joueurs ont rejoint l'équipe après l'arrivée de Martin « Rekkles » Larsson ?,,"Jules « Hantera » Bourgeois, Doğukan « 113 » Balcı (aussi surnommé Bumm) et Wao « Wao » Dai"
Qui a été prolongé d'un an dans le roster ?,,Cabochard
Qui est resté à son poste dans le roster ?,,Saken
